Country,Population,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Revovered,Active Cases,"Serious, Critical Cases",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop
Panama,4423982,737659,,"7,909 ",,698027,,31723,83,166741,1788,5366725,1213098
Azerbaijan,10286185,725777,,"8,972 ",,665909,,50896,,70558,872,6335593,615932
Guatemala,18448341,725701,,"16,577 ",,661027,,48097,5,39337,899,3719048,201593
Saudi Arabia,35685663,722002,,"8,965 ",,681711,,31326,1052,20232,251,39196567,1098384
Sri Lanka,21557702,624545,,"15,723 ",,593975,,14847,,28971,729,6205382,287850
Paraguay,7273446,618815,,"17,801 ",,555799,,45215,190,85079,2447,2454393,337446
Kuwait,4372131,593889,,"2,517 ",,538421,,52951,91,135835,576,7226936,1652955
Dominican Republic,11022889,567085,,"4,339 ",,557208,,5538,80,51446,394,3022224,274177
Finland,5554569,559587,,"2,141 ",,46000,,511446,37,100744,385,9647922,1736934
Palestine,5291990,549572,,"4,966 ",,491918,,52688,116,103850,938,3078533,581734
Myanmar,54996602,541904,,"19,310 ",,514833,,7761,,9853,351,6619542,120363
Venezuela,28306293,501586,,"5,521 ",,481565,,14500,230,17720,195,3359014,118667
Latvia,1852641,488329,,"4,987 ",,358975,,124367,74,263585,2692,6343308,3423927
Moldova,4018877,477419,,"10,866 ",,423937,,42616,265,118794,2704,2878229,716177
Ethiopia,119539340,467153,,"7,407 ",,408613,,51133,188,3908,62,4414390,36928
Libya,7021554,463321,,"6,107 ",,409716,,47498,129,65986,870,2318687,330224
Mongolia,3363175,454350,1297,"2,139 ",2,313256,,138955,192,135096,636,4030048,1198287
Egypt,105437205,448497,,"23,172 ",,382037,,43288,122,4254,220,3693367,35029
Bahrain,1796544,448166,,"1,419 ",,386666,,60081,21,249460,790,9081352,5054901
Singapore,5924359,439640,,882 ,,397699,,41059,13,74209,149,22888183,3863402
Estonia,1327970,410210,5112,"2,100 ",5,297374,4207,110736,19,308900,1581,2955849,2225840
Armenia,2972155,402403,2676,"8,145 ",22,365662,3658,28596,,135391,2740,2811771,946038
Honduras,10157901,402329,,"10,559 ",,127289,,264481,105,39607,1039,1263329,124369
Bosnia and Herzegovina,3247981,361189,,"14,938 ",,192218,,154033,,111204,4599,1662357,511812
Oman,5315304,360999,,"4,195 ",,333906,,22898,73,67917,789,25000000,4703400
Qatar,"2,807,805 ",348924,,655 ,,338138,,10131,43,124269,233,3334219,1187482
Kenya,55674894,322334,,"5,626 ",,300305,,16403,8,5790,101,3278718,58890
Zambia,19211050,308556,,"3,935 ",,301709,,2912,33,16061,205,3217713,167493
North Macedonia,2083236,283547,,"8,686 ",,263196,,11665,,136109,4169,1834588,880643
Cyprus,1221498,283458,,762 ,,124370,,158326,60,232058,624,9477138,7758619
Albania,2872741,267020,,"3,402 ",,252982,,10636,23,92950,1184,1704867,593464
Algeria,45124050,260191,,"6,690 ",,173476,,80025,35,5766,148,230861,5116
Botswana,2427950,259655,,"2,597 ",,253846,,3212,1,106944,1070,2026898,834819
Réunion,905591,256787,,565 ,,216172,,40050,60,283557,624,1424291,1572775
Nigeria,214349262,253875,,"3,139 ",,230221,,20515,11,1184,15,4177940,19491
Uzbekistan,34249213,232496,625,"1,597 ",2,215297,829,15602,23,6788,47,1377915,40232
Zimbabwe,15210848,231040,,"5,373 ",,222489,,3178,12,15189,353,2020759,132850
Montenegro,628194,225253,,"2,624 ",,218971,,3658,60,358572,4177,1136936,1809849
Mozambique,32662158,224559,,"2,188 ",,217951,,4420,13,6875,67,1244268,38095
Kyrgyzstan,6697262,199890,69,"2,920 ",3,192232,274,4738,131,29847,436,1907195,284772
Luxembourg,642353,172502,,968 ,,146801,,24733,9,268547,1507,4025649,6267035
Afghanistan,40337322,169940,374,"7,478 ",1,148242,152,14220,1124,4213,185,874023,21668
Uganda,48060994,162492,,"3,567 ",,99501,,59424,108,3381,74,2393255,49796
Ghana,32115473,157751,,"1,419 ",,155322,,1010,3,4912,44,2264272,70504
Namibia,2614882,156563,,"3,988 ",,151129,,1446,8,59874,1525,934397,357338
Maldives,555850,155917,,287 ,,139409,,16221,25,280502,516,2117779,3809983
Laos,7445332,138431,424,588 ,4,7660,,130183,,18593,79,994249,133540
El Salvador,6538859,135109,,"3,975 ",,120327,,10807,56,20662,608,1627890,248956
