Population,Tot Cases/ 1M pop,Deaths/ 1M pop,Tests/ 1M pop,Active Cases/ 1M Pop,"Serious, Critical Cases/ 1M Pop"
3363175,135096.0,636.0,1198287.0,46318.333333333336,64.0
105437205,4254.0,220.0,35029.0,412.26666666666665,1.161904761904762
1796544,249460.0,790.0,5054901.0,30040.5,10.5
5924359,74209.0,149.0,3863402.0,6843.166666666667,2.1666666666666665
1327970,308900.0,1581.0,2225840.0,110736.0,19.0
2972155,135391.0,2740.0,946038.0,9532.0,181.46951219512195
10157901,39607.0,1039.0,124369.0,26448.1,10.5
3247981,111204.0,4599.0,511812.0,51344.333333333336,181.46951219512195
5315304,67917.0,789.0,4703400.0,4579.6,14.6
2807805,124269.0,233.0,1187482.0,3377.0,14.333333333333334
55674894,5790.0,101.0,58890.0,292.9107142857143,0.14285714285714285
19211050,16061.0,205.0,167493.0,153.26315789473685,1.736842105263158
2083236,136109.0,4169.0,880643.0,5832.5,272.2042682926829
1221498,232058.0,624.0,7758619.0,158326.0,60.0
2872741,92950.0,1184.0,593464.0,3545.3333333333335,7.666666666666667
45124050,5766.0,148.0,5116.0,1778.3333333333333,0.7777777777777778
2427950,106944.0,1070.0,834819.0,1606.0,0.5
905591,283557.0,624.0,1572775.0,40050.0,60.0
214349262,1184.0,15.0,19491.0,95.8644859813084,0.0514018691588785
34249213,6788.0,47.0,40232.0,458.88235294117646,0.6764705882352942
15210848,15189.0,353.0,132850.0,211.86666666666667,0.8
628194,358572.0,4177.0,1809849.0,1829.0,30.0
32662158,6875.0,67.0,38095.0,133.93939393939394,0.3939393939393939
6697262,29847.0,436.0,284772.0,676.8571428571429,18.714285714285715
642353,268547.0,1507.0,6267035.0,12366.5,4.5
40337322,4213.0,185.0,21668.0,355.5,28.1
48060994,3381.0,74.0,49796.0,1238.0,2.25
32115473,4912.0,44.0,70504.0,31.5625,0.09375
2614882,59874.0,1525.0,357338.0,482.0,2.6666666666666665
555850,280502.0,516.0,3809983.0,8110.5,12.5
7445332,18593.0,79.0,133540.0,18597.571428571428,77.7726480836237
6538859,20662.0,608.0,248956.0,1543.857142857143,8.0
13468126,9596.0,108.0,342517.0,6327.923076923077,0.07692307692307693
2981962,42452.0,908.0,273679.0,17220.666666666668,8.333333333333334
17091060,7182.0,176.0,164634.0,70.70588235294117,32.02403156384505
400234,298660.0,2019.0,2138661.0,58238.0,10.5
1406780,84066.0,2489.0,420582.0,21045.0,22.0
27607636,4262.0,69.0,63453.0,347.10714285714283,0.4642857142857143
1439323776,74.0,3.0,111163.0,0.9895760945100764,0.0034746351633078527
374797,270274.0,2279.0,1723218.0,33446.666666666664,8.666666666666666
34508276,2854.0,55.0,40508.0,11.857142857142858,0.02857142857142857
93934749,913.0,14.0,9014.0,356.3510638297872,5.791580176440062
17452846,4888.0,112.0,56909.0,27.41176470588235,0.29411764705882354
19924190,4263.0,130.0,26925.0,540.65,3.35
344806,243447.0,151.0,4786596.0,3244.3333333333335,0.6666666666666666
27427869,2955.0,29.0,50170.0,52.111111111111114,20.163279132791327
311121,247775.0,1234.0,1860398.0,21816.666666666668,4.666666666666667
595087,128894.0,2174.0,374083.0,13052.0,6.5
443435,157071.0,1299.0,2731981.0,1176.5,2.0
1179486,58269.0,1171.0,394547.0,261.0,11.0
906895,69993.0,903.0,544875.0,1064.0,544.4085365853658
792658,78295.0,1499.0,658833.0,3144.0,17.0
28834814,2131.0,45.0,13159.0,187.58620689655172,7.724137931034483
45494540,1307.0,83.0,12374.0,341.3777777777778,12.097967479674796
4846019,12080.0,200.0,146712.0,94.4,6.0
565700,98687.0,704.0,708824.0,55.0,11.5
409233,134332.0,1542.0,1174241.0,2358.5,2.0
18183804,2880.0,166.0,8044.0,412.8333333333333,30.24491869918699
283520,182432.0,2243.0,1673536.8660287082,84033.72906976745,1.75
287941,175303.0,1011.0,1947777.0,3997.3333333333335,181.46951219512195
2310130,20518.0,131.0,672443.0,1794.5,2.0
176441,260812.0,776.0,6741075.0,533.8333333333334,90.73475609756098
9219474,4146.0,66.0,27024.0,144.55555555555554,0.7777777777777778
165173,231103.0,1508.0,2823185.0,199.0,0.5
99327,383783.0,1581.0,1673536.8660287082,122.6,54.44085365853658
12459621,3035.0,3.0,27749.0,3083.75,45.36737804878049
77464,478597.0,1911.0,3225214.0,90.23076923076923,1.0769230769230769
8590531,4264.0,31.0,78318.0,225.11111111111111,60.48983739837398
283392,128994.0,660.0,624291.0,8351.25,136.10213414634146
13705087,2651.0,32.0,42875.0,229.21428571428572,3.5
289913,120874.0,980.0,341358.0,4495.333333333333,12.0
62467398,535.0,13.0,1673536.8660287082,5421.530907726932,0.11290322580645161
107495,311047.0,1823.0,1654821.0,16.444444444444443,0.8888888888888888
399288,82324.0,1893.0,535230.0,2271.6666666666665,3.0
2169568,14921.0,321.0,178415.0,4432.0,272.2042682926829
21187797,1428.0,34.0,28589.0,115.52380952380952,25.924216027874564
11626088,2572.0,69.0,11390.0,341.9166666666667,45.36737804878049
1275164,21515.0,598.0,281278.0,989.0,544.4085365853658
12633381,2097.0,13.0,47834.0,63.76923076923077,0.38461538461538464
49162,534722.0,448.0,15520117.0,928.65,0.25
16605542,1578.0,81.0,24116.0,687.1176470588235,32.02403156384505
5736334,4159.0,65.0,60634.0,551.1666666666666,90.73475609756098
85757,257145.0,898.0,1757909.0,22.583333333333332,45.36737804878049
184977,118247.0,1871.0,703098.0,327.6,0.2
1358813,15571.0,90.0,175929.0,1208.0,19.0
21824110,948.0,17.0,11270.0,2.3636363636363638,24.745842572062084
444217,46045.0,221.0,1600722.0,1873.0,1.5
23886135,814.0,36.0,457144.0,50.791666666666664,22.683689024390244
5002100,3861.0,11.0,1249297.0,732.0,108.88170731707316
7594824,2475.0,28.0,4590034.0,668.25,68.05106707317073
6751316,2635.0,32.0,1673536.8660287082,1906.857142857143,77.7726480836237
66963,264131.0,239.0,3326807.0,607.8666666666667,0.13333333333333333
9881928,1757.0,13.0,1673536.8660287082,2.5,54.44085365853658
11404799,1480.0,12.0,28837.0,333.27272727272725,0.09090909090909091
1477005,10733.0,123.0,185129.0,125.0,5.0
1011104,15358.0,187.0,275131.0,23.0,544.4085365853658
33675,420728.0,2999.0,14858411.0,40.56666666666667,0.1
4964774,2842.0,22.0,16374.0,1428.2,0.4
34046,398608.0,3202.0,3790460.0,41.51724137931034,0.06896551724137931
113362,115577.0,1870.0,1153985.0,61.0,0.1111111111111111
2525735,4716.0,145.0,53691.0,28.333333333333332,1.3333333333333333
56928,199076.0,123.0,2897098.0,475.8333333333333,0.8333333333333334
30881713,362.0,66.0,8589.0,63.064516129032256,0.7419354838709677
61908,180041.0,1938.0,12479373.0,17.0,34.025533536585364
72274,142665.0,733.0,2163378.0,73.57142857142857,38.88632404181185
38304,267283.0,1932.0,2099337.0,19.46153846153846,0.11538461538461539
39726,246035.0,1586.0,1972663.0,332.48,0.28
3625354,2665.0,28.0,6535.0,31.0,136.10213414634146
43659,216885.0,1901.0,1421379.0,12.173913043478262,0.43478260869565216
39690,225649.0,1235.0,1384732.0,11.08,0.16
25613460,340.0,12.0,8667.0,6.576923076923077,0.038461538461538464
899374,8893.0,178.0,1673536.8660287082,158.0,544.4085365853658
2042748,3828.0,77.0,59066.0,394.5,3.0
8237731,928.0,15.0,31557.0,42016.86453488372,68.05106707317073
5248712,1402.0,55.0,26640.0,264.2,0.4
26615,276047.0,1165.0,1131918.0,6.0,14.326540436456995
99233,73776.0,1350.0,190471.0,57.1,0.1
17183009,420.0,11.0,11135.0,126.47058823529412,32.02403156384505
785274,8633.0,6.0,2285921.0,2212.0,544.4085365853658
111507,60274.0,906.0,874967.0,13.88888888888889,1.8888888888888888
30555,194011.0,1898.0,3215415.0,10185.906553911205,0.36363636363636365
225702,26212.0,315.0,128648.0,5.25,136.10213414634146
39559,146768.0,885.0,10611795.0,4.88,0.16
53804,102130.0,725.0,1210709.0,6.421052631578948,0.05263157894736842
713951,5887.0,70.0,7167.0,3099.0,51.0
9925,371486.0,605.0,5691788.0,3328.068478010592,5.3901835305481764
18233,167005.0,1070.2570093457944,1542313.0,26.10909090909091,0.4
15218,161519.0,591.0,3376396.0,0.21212121212121213,0.06060606060606061
122396,18922.0,25.0,1673536.8660287082,267.5,68.05106707317073
5748,175539.0,174.0,3019833.0,0.3275862068965517,0.005747126436781609
10922,41567.0,641.0,1877678.0,0.09782608695652174,5.917484093319194
4997,32620.0,400.0,1560136.0,0.0,2.722042682926829
3643,24430.0,1070.2570093457944,2369476.0,1226.7697674418605,1.9868924692896563
663570,119.0,1070.2570093457944,7862.0,0.0,272.2042682926829
107622,613.0,1070.2570093457944,1673536.8660287082,7.111111111111111,60.48983739837398
200535,165.0,1070.2570093457944,1673536.8660287082,6.0,108.88170731707316
804,36070.0,1070.2570093457944,1673536.8660287082,0.0008038585209003215,0.43762744098502077
620938,16.0,2.0,1673536.8660287082,0.5,272.2042682926829
318679,22.0,3.0,72173.0,0.0,181.46951219512195
59833,117.0,1070.2570093457944,1673536.8660287082,0.0,32.02403156384505
6106,328.0,1070.2570093457944,1673536.8660287082,0.0,3.319564247471743
116962,9.0,1070.2570093457944,1673536.8660287082,0.0,60.48983739837398
